Price
300.0
83.58
68.45
67.97
200.0
71.05
84.05
35.06
77.0
93.69
87.16
53.94
63.67
50.8
72.09999
57.0
300.0
83.58
68.45
67.97
200.0
71.05
84.05
35.06
77.0
93.69
87.16
53.94
63.67
50.8
72.09999
57.0
124.0
49.0
300.0
83.58
68.45
67.97
200.0
71.05
84.05
35.06
77.0
93.69
87.16
53.94
63.67
50.8
72.09999
57.0
124.0
49.0
50.8
94.58
237.0
73.63
54.89
42.16
43.68
76.0
45.45
231.0
80.0
45.14
54.6
44.14
88.68
61.33
30.38
71.0
75.06999
65.2
63.89
117.0
45.62
29.51
42.64
66.98
45.0
49.28
61.0
61.51
54.26
130.0
48.5
46.04
36.07
165.0
48.4
258.0
510.0
48.09
50.7
105.0
45.8
55.59
47.23
44.65
89.54
40.0
54.0
87.84
79.0
47.81
150.0
47.0
77.67
64.87
140.0
87.58
55.0
49.0
45.45
220.0
75.0
37.79999
89.54
258.0
89.54
82.18
86.56
75.2
110.0
113.99999
130.0
112.99999
67.36
82.33
67.61
66.11
62.87
64.37
61.12
64.87
47.22
45.86
45.82
67.87
93.19
68.92
92.77
116.0
109.0
105.0
98.59
69.73999
57.05
57.72
67.20999
67.61
56.77
53.84
91.41
95.22
100.0
72.11
85.14
103.0
77.83
74.29
78.09999
35.06
62.5
62.5
37.97999
37.97999
50.34
50.34
78.97
78.97
53.27
53.27
82.69
82.69
59.58
59.58
69.0
97.0
73.0
91.8
69.86
60.81
78.91
60.7
59.61
84.42
90.03
59.23
61.74
59.94
81.8
76.62
87.63
89.57
65.81
96.4
66.64
66.31
100.0
98.79
85.29
72.52
90.37
72.98
104.0
95.2
72.29
98.87
103.0
71.59999
107.0
89.0
93.82
73.44
70.91
62.79
53.06
66.55
51.95
54.83
55.27
64.12
60.36
49.3
66.11
51.73
60.58
62.79
50.85
64.34
52.62
66.81999
65.25
69.97
60.97
61.2
61.42
67.27
62.77
67.5
64.56999
52.4
41.2
70.12
81.95
80.5
59.0
81.0
64.0
62.75
144.0
137.0
113.99999
45.0
52.4
41.2
296.0
89.54
88.0
154.0
110.0
52.67
35.07
48.16
43.12
52.95
36.96
41.4
38.32
33.77
45.6
50.15
37.69
34.47
49.56
53.23
39.54999
34.19
53.51
44.34
94.53
150.0
89.0
144.0
127.0
125.0
200.99999
188.0
137.0
189.0
85.0
90.0
93.0
110.0
180.0
293.0
227.99999
32.0
32.0
110.0
98.0
425.0
135.0
156.0
189.0
154.0
123.0
68.45999
91.73
94.71
72.47
55.99
118.0
48.15
48.8
50.5
46.19
47.85
49.72
47.37
48.54
283.0
214.0
235.0
299.0
92.0
80.0
92.0
80.0
80.0
93.0
79.0
92.0
91.0
90.0
79.0
79.0
80.0
78.0
92.0
